id,category,question
5.1,Information Security Policies,"Provide your approved Information Security Policy and topic-specific policies, showing version, approval date, and evidence of management sign-off and annual review."
5.2,Roles and Responsibilities,"Submit documentation defining information security roles and responsibilities (e.g. RACI or org chart) and evidence these have been communicated and acknowledged."
5.3,Segregation of Duties,"Demonstrate how conflicting duties are segregated. Provide a SoD matrix or access review showing no single individual can request, approve, and implement a sensitive change."
5.4,Management Responsibilities,"Provide evidence that management requires all personnel to apply information security per policy (e.g. signed acknowledgements, performance objectives)."
5.7,Threat Intelligence,"Demonstrate how you collect and action threat intelligence. Provide a sample threat intel report or feed export and evidence it informed a control decision."
5.9,Inventory of Assets,"Submit your asset inventory export showing owners, classification, and last-reviewed date for information and associated assets."
5.10,Acceptable Use,"Provide your Acceptable Use Policy and evidence of user acknowledgement (signed forms or e-acknowledgement export)."
5.12,Information Classification,"Provide your information classification scheme and an example showing how assets are labelled per scheme."
5.14,Information Transfer,"Provide your information transfer policy and evidence of secure transfer mechanisms (e.g. encrypted file transfer config, DLP rules, transfer agreements)."
5.15,Access Control,"Provide your Access Control Policy and a sample access-rights export from a key system showing role-based assignment."
5.16,Identity Management,"Demonstrate the joiner/mover/leaver identity lifecycle. Pull a user-provisioning and de-provisioning report from your identity provider."
5.17,Authentication Information,"Provide your password/secret management policy and configuration evidence (e.g. password policy export, secrets-vault config)."
5.18,Access Rights,"Submit evidence of a recent user access review for a critical system, including reviewer, date, and remediation of revoked access."
5.19,Supplier Relationships,"Provide your supplier security policy and a sample supplier register showing risk tier and assigned owner."
5.20,Supplier Agreements,"Submit a sample supplier contract or DPA showing the information security clauses (confidentiality, right to audit, breach notification)."
5.22,Supplier Service Monitoring,"Provide evidence of monitoring supplier service delivery (e.g. SLA reports, review-meeting minutes, SOC 2 report review notes)."
5.23,Cloud Services Security,"Submit your cloud service security policy and configuration evidence for a key cloud provider (e.g. CSP security settings, shared-responsibility mapping)."
5.24,Incident Management Planning,"Provide your information security incident response plan showing roles, severity classification, and escalation paths."
5.26,Incident Response,"Submit a post-incident report for a recent incident showing response actions, timeline, and root cause."
5.27,Learning from Incidents,"Provide evidence that incident lessons learned drive improvement (e.g. action items tracked to closure from a post-mortem)."
5.29,Continuity,"Provide your information security continuity plan and evidence of its last test (BCP/DR test report)."
5.31,Legal and Regulatory Requirements,"Provide your register of applicable legal, statutory, regulatory, and contractual requirements with assigned owners."
5.33,Protection of Records,"Provide your records retention schedule and evidence records are protected from loss and unauthorized access."
5.35,Independent Review,"Provide the report from the most recent independent review or internal audit of information security."
5.36,Compliance with Policies,"Demonstrate periodic compliance checks against policies and standards. Provide a sample compliance review or attestation."
6.1,Screening,"Provide evidence of background screening for a recent hire (redacted check results or screening-completion record)."
6.3,Security Awareness Training,"Provide your security awareness training records showing completion rates and content for the current cycle."
6.6,Confidentiality Agreements,"Submit a sample signed NDA/confidentiality agreement and the register tracking signed agreements."
6.7,Remote Working,"Provide your remote working policy and supporting technical controls (e.g. VPN config, device posture requirements)."
6.8,Security Event Reporting,"Demonstrate the mechanism for personnel to report security events. Provide a screenshot of the reporting channel and a sample submitted report."
7.1,Physical Security Perimeters,"Provide evidence of physical security perimeters for facilities housing information assets (e.g. floor plans, badge-zone diagrams). If cloud-hosted, provide the subservice organization physical security controls via CSP bridge letter."
