id,category,question
GV.OC-1,Organizational Context,"Provide documentation of your organizational mission and how it informs cybersecurity risk management decisions (e.g. mission statement linked to risk strategy)."
GV.OC-2,Organizational Context,"Submit evidence of identified internal and external stakeholders and their cybersecurity expectations (stakeholder register or requirements matrix)."
GV.OC-3,Organizational Context,"Provide your register of legal, regulatory, and contractual cybersecurity requirements with assigned owners."
GV.OC-5,Organizational Context,"Provide documentation of outcomes, capabilities, and services that the organization depends on (dependency/BIA register)."
GV.RM-1,Risk Management Strategy,"Submit your risk management strategy document showing risk objectives approved by leadership."
GV.RM-2,Risk Management Strategy,"Provide evidence of established and communicated risk appetite and risk tolerance statements."
GV.RM-4,Risk Management Strategy,"Demonstrate a documented strategic direction for risk response (acceptance, mitigation, transfer, avoidance) with an example decision."
GV.RR-1,Roles and Responsibilities,"Provide evidence that leadership is accountable for cybersecurity risk (e.g. board/exec charter or meeting minutes assigning accountability)."
GV.RR-2,Roles and Responsibilities,"Submit documentation defining cybersecurity roles, responsibilities, and authorities (RACI) and evidence of communication."
GV.RR-3,Roles and Responsibilities,"Demonstrate that adequate resources (budget, staffing, tooling) are allocated to cybersecurity (budget approval or staffing plan)."
GV.PO-1,Policy,"Submit your organizational cybersecurity policy showing leadership approval, version, and communication evidence."
GV.PO-2,Policy,"Provide evidence that policies are reviewed and updated to reflect changes (review log with dates and rationale)."
GV.OV-1,Oversight,"Demonstrate that cybersecurity risk strategy outcomes are reviewed (e.g. KRI dashboard reviewed by leadership)."
GV.OV-3,Oversight,"Submit evidence that cybersecurity performance is measured and used to inform improvements (metrics report with actions taken)."
GV.SC-1,Supply Chain Risk,"Provide your cyber supply chain risk management strategy and program documentation approved by stakeholders."
GV.SC-4,Supply Chain Risk,"Submit your supplier register prioritized by criticality with assigned risk tiers and last-assessment dates."
GV.SC-7,Supply Chain Risk,"Provide evidence of ongoing supplier risk monitoring (assessment cadence records, SOC 2 review notes, or continuous-monitoring reports)."
GV.SC-8,Supply Chain Risk,"Demonstrate that suppliers are included in incident planning, response, and recovery (supplier notification clauses or joint-test evidence)."
ID.AM-1,Asset Management,"Provide an inventory export of hardware assets showing owner, location, and classification. Include MDM device inventory from Kandji."
ID.AM-2,Asset Management,"Submit an inventory of software, services, and data repositories including version and support status."
ID.AM-3,Asset Management,"Provide network communication and data flow diagrams for your in-scope environment."
